s.no,year,month,state,occupation,item,men,women,"rural_wages_|__official_website_of_labour_bureau,_ministry_of_labour_and
employment,government_of_india"
659.0,2023-2024,Dec,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,585.28,356.47,
662.0,2024-2025,Dec,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),590.71,397.88,
663.0,2017-2018,Dec,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),423.9,217.14,
664.0,2015-2016,Dec,TAMIL NADU,Agriculture,Ploughing/Tilling workers,451.49,,
665.0,2020-2021,Dec,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",440.2,286.11,
666.0,2018-2019,Dec,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",397.25,220.0,
667.0,2016-2017,Dec,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",382.63,210.13,
668.0,2024-2025,Dec,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",582.8,372.37,
669.0,2018-2019,Dec,TAMIL NADU,Agriculture,Ploughing/Tilling workers,557.38,,
670.0,2015-2016,Dec,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
671.0,2016-2017,Dec,TAMIL NADU,Agriculture,Ploughing/Tilling workers,474.46,,
672.0,2020-2021,Dec,TAMIL NADU,Agriculture,Ploughing/Tilling workers,658.6,,
673.0,2023-2024,Dec,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),557.56,374.94,
674.0,2019-2020,Dec,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,466.41,278.61,
675.0,2024-2025,Dec,TAMIL NADU,Agriculture,Ploughing/Tilling workers,706.08,,
676.0,2017-2018,Dec,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,403.85,228.92,
677.0,2021-2022,Dec,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,543.47,318.53,
680.0,2016-2017,Dec,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
681.0,2023-2024,Dec,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",553.98,353.54,
683.0,2015-2016,Dec,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),377.14,190.32,
684.0,2023-2024,Dec,TAMIL NADU,Agriculture,Ploughing/Tilling workers,697.65,,
685.0,2019-2020,Dec,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),429.17,265.68,
686.0,2017-2018,Dec,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),365.38,235.45,
687.0,2021-2022,Dec,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),504.6,303.19,
690.0,2016-2017,Dec,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),413.9,201.71,
692.0,2021-2022,Dec,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",446.26,289.47,
693.0,2019-2020,Dec,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",411.35,236.69,
695.0,2017-2018,Dec,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",383.89,211.6,
696.0,2015-2016,Dec,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,377.41,220.17,
697.0,2019-2020,Dec,TAMIL NADU,Agriculture,Ploughing/Tilling workers,596.76,,
698.0,2017-2018,Dec,TAMIL NADU,Agriculture,Ploughing/Tilling workers,482.72,,
699.0,2021-2022,Dec,TAMIL NADU,Agriculture,Ploughing/Tilling workers,665.0,,
700.0,2020-2021,Dec,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,518.33,304.54,
701.0,2018-2019,Dec,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,444.36,265.83,
702.0,2016-2017,Dec,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,394.87,219.24,
706.0,2024-2025,Dec,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,585.28,396.14,
707.0,2017-2018,Dec,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
708.0,2015-2016,Dec,TAMIL,Agriculture,Sowing(including Planting/Transplanting/,320.35,204.61,
